lane,verdict,latency_ms,attempts,note
ollama:command-r7b:7b,abstained,6593,1,"no tool call, no value: '[create_work_item]'"
ollama:deepseek-r1:1.5b,abstained,6576,1,"no tool call, no value: '123456'"
ollama:deepseek-r1:14b,abstained,75842,1,"no tool call, no value: ""To create a work item titled 'probe' using the create_work_i"""
ollama:deepseek-r1:7b,abstained,12376,1,"no tool call, no value: 'create_work_item probe'"
ollama:deepseek-r1:latest,abstained,11664,1,"no tool call, no value: '```json\n{\n  ""tool"": ""create_work_item"",\n  ""work_item"": {\n   '"
ollama:functiongemma:270m,real,8577,1,tool called; reported WI-A8DF4A3B
ollama:gemini-3-flash-preview:latest,abstained,207,1,"HTTP 410: {""StatusCode"":410,""Status"":""410 Gone"",""error"":""gemini-3-flash-preview was retired at 2026-07-15 00:00:00 -0700 PDT (ref: ce6177da-0d8b-4f00-88fe-2b2ab3e976b8)""}"
ollama:gemma4:12b,real,19339,1,tool called; reported WI-11025B0C
ollama:gemma4:e2b,real,8581,1,tool called; reported WI-CCBD7E53
ollama:gemma4:e4b,real,11102,1,tool called; reported WI-C936BE28
ollama:gemma4:latest,real,11171,1,tool called; reported WI-37DDBE79
ollama:glm-ocr:latest,abstained,14690,1,"no tool call, no value: '```xml\n<tools>\n  <type>function</type>\n  <function name=""cre'"
ollama:granite-kram-eval:latest,real,6554,1,tool called; reported WI-9794C455
ollama:granite3.3:8b,real,5406,1,tool called; reported WI-39FFF478
ollama:granite4.1:3b,real,3326,1,tool called; reported WI-8F265C0E
ollama:granite4.1:8b,real,3859,1,tool called; reported WI-19194EE3
ollama:granite4.2:3b,real,5804,1,tool called; reported WI-1E3345A3
ollama:granite4.2:8b,real,48079,1,tool called; reported WI-88FD3EBB
ollama:hermes3:latest,real,5750,1,tool called; reported WI-9A5D66AA
ollama:kram-core:latest,real,33855,1,tool called; reported WI-A245D724
ollama:kram-deal-screener:latest,abstained,4580,1,"no tool call, no value: ""I'm sorry, but I can't perform that task."""
ollama:kram-entity-specialist:latest,abstained,2864,1,"no tool call, no value: '12345'"
